Job name        : med-lfb-uc_ndcs
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_NDCS]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   31] BNT [score: 1556.0, median singleton score: 153.5, visited nodes (%): 66.66667175292969, solving time (ms): 5.0, median approximation score: 2.438202142715454]
[   31] CTS [score: 1822.0, median singleton score: 223.0, visited nodes (%): 46.66666793823242, solving time (ms): 26.0, median approximation score: 0.0]
[   31] ANT-e [score: 1071.0, median singleton score: 66.0, visited nodes (%): 93.33333587646484, solving time (ms): 1378.0, median approximation score: 0.0]
[   32] EDF [score: 1845.0, median singleton score: 138.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 2.0]
[   32] BNT [score: 1174.0, median singleton score: 110.0, visited nodes (%): 73.33333587646484, solving time (ms): 7.0, median approximation score: 1.4090908765792847]
[   32] CTS [score: 1763.0, median singleton score: 186.0, visited nodes (%): 60.000003814697266, solving time (ms): 17.0, median approximation score: 2.9000000953674316]
[   32] ANT-e [score: 1135.0, median singleton score: 81.0, visited nodes (%): 100.0, solving time (ms): 244.0, median approximation score: 0.0]
[   33] EDF [score: 1684.0, median singleton score: 128.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 2.220339059829712]
[   33] BNT [score: 1668.0, median singleton score: 160.0, visited nodes (%): 73.33333587646484, solving time (ms): 7.0, median approximation score: 2.388059616088867]
[   33] CTS [score: 911.0, median singleton score: 176.5, visited nodes (%): 40.0, solving time (ms): 8.0, median approximation score: 0.0]
[   33] ANT-e [score: 1331.0, median singleton score: 72.0, visited nodes (%): 86.66666412353516, solving time (ms): 7.0, median approximation score: 0.0]
[   34] EDF [score: 1788.0, median singleton score: 138.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 2.4000000953674316]
[   34] BNT [score: 1175.0, median singleton score: 120.0, visited nodes (%): 66.66667175292969, solving time (ms): 7.0, median approximation score: 1.28125]
[   34] CTS [score: 1714.0, median singleton score: 238.0, visited nodes (%): 53.333335876464844, solving time (ms): 21.0, median approximation score: 1.8235293626785278]
[   34] ANT-e [score: 992.0, median singleton score: 61.0, visited nodes (%): 100.0, solving time (ms): 1246.0, median approximation score: 0.0]
[   35] EDF [score: 1621.0, median singleton score: 89.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 2.2658228874206543]
[   35] BNT [score: 1536.0, median singleton score: 88.0, visited nodes (%): 86.66666412353516, solving time (ms): 6.0, median approximation score: 1.7948718070983887]
[   35] CTS [score: 1535.0, median singleton score: 94.0, visited nodes (%): 73.33333587646484, solving time (ms): 11.0, median approximation score: 1.9629629850387573]
[   35] ANT-e [score: 1160.0, median singleton score: 78.0, visited nodes (%): 100.0, solving time (ms): 686.0, median approximation score: 0.0]
[   36] EDF [score: 1853.0, median singleton score: 112.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 2.2195122241973877]
[   36] BNT [score: 1692.0, median singleton score: 157.0, visited nodes (%): 80.0, solving time (ms): 6.0, median approximation score: 2.3111112117767334]
[   36] CTS [score: 1903.0, median singleton score: 225.5, visited nodes (%): 53.333335876464844, solving time (ms): 15.0, median approximation score: 2.9772727489471436]
[   36] ANT-e [score: 1522.0, median singleton score: 87.0, visited nodes (%): 100.0, solving time (ms): 431.0, median approximation score: 0.0]
[   37] EDF [score: 1129.0, median singleton score: 82.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.5384615659713745]
[   37] BNT [score: 1302.0, median singleton score: 111.5, visited nodes (%): 93.33333587646484, solving time (ms): 7.0, median approximation score: 1.559999942779541]
[   37] CTS [score: 1971.0, median singleton score: 128.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 2.45652174949646]
[   37] ANT-e [score: 1048.0, median singleton score: 61.0, visited nodes (%): 100.0, solving time (ms): 1420.0, median approximation score: 0.0]
[   38] EDF [score: 784.0, median singleton score: 65.0, visited nodes (%): 80.0, solving time (ms): 1.0, median approximation score: 1.5945945978164673]
[   38] BNT [score: 1299.0, median singleton score: 76.0, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 2.1794872283935547]
[   38] CTS [score: 1444.0, median singleton score: 75.5, visited nodes (%): 93.33333587646484, solving time (ms): 6.0, median approximation score: 2.15625]
[   38] ANT-e [score: 1416.0, median singleton score: 65.0, visited nodes (%): 93.33333587646484, solving time (ms): 4.0, median approximation score: 0.0]
[   39] EDF [score: 1704.0, median singleton score: 120.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 2.017857074737549]
