Job name        : med-lfb-uc_agent-based
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   44] EDF [score: 610.0, median singleton score: 36.0, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.3809523582458496]
[   44] BNT [score: 723.0, median singleton score: 46.0, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 1.8333333730697632]
[   44] CTS [score: 1169.0, median singleton score: 91.0, visited nodes (%): 73.33333587646484, solving time (ms): 10.0, median approximation score: 2.3333332538604736]
[   44] ANT-e [score: 451.0, median singleton score: 31.0, visited nodes (%): 93.33333587646484, solving time (ms): 1072.0, median approximation score: 0.0]
[   45] EDF [score: 469.0, median singleton score: 33.0, visited nodes (%): 100.0, solving time (ms): 1.0, median approximation score: 1.4166666269302368]
[   45] BNT [score: 606.0, median singleton score: 37.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.454545497894287]
[   45] CTS [score: 1161.0, median singleton score: 59.0, visited nodes (%): 100.0, solving time (ms): 9.0, median approximation score: 1.9166666269302368]
[   45] ANT-e [score: 669.0, median singleton score: 48.0, visited nodes (%): 100.0, solving time (ms): 451.0, median approximation score: 0.0]
[   46] EDF [score: 639.0, median singleton score: 38.5, visited nodes (%): 93.33333587646484, solving time (ms): 1.0, median approximation score: 1.2999999523162842]
[   46] BNT [score: 579.0, median singleton score: 43.0, visited nodes (%): 93.33333587646484, solving time (ms): 4.0, median approximation score: 1.2666666507720947]
[   46] CTS [score: 1158.0, median singleton score: 85.0, visited nodes (%): 73.33333587646484, solving time (ms): 12.0, median approximation score: 1.3461538553237915]
[   46] ANT-e [score: 408.0, median singleton score: 28.0, visited nodes (%): 93.33333587646484, solving time (ms): 59.0, median approximation score: 0.0]
[   47] EDF [score: 484.0, median singleton score: 26.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.441176414489746]
[   47] BNT [score: 560.0, median singleton score: 36.0, visited nodes (%): 100.0, solving time (ms): 5.0, median approximation score: 1.3333333730697632]
