Job name        : lfb-uc_agent-based
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 150
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [UC_AGENT_BASED]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   33] BNT [score: 3964.0, median singleton score: 28.0, visited nodes (%): 94.0, solving time (ms): 1208.0, median approximation score: 1.2014170289039612]
[   33] CTS [score: 12704.0, median singleton score: 62.0, visited nodes (%): 97.33333587646484, solving time (ms): 279.0, median approximation score: 2.3205127716064453]
[   33] ANT-e [score: 3294.0, median singleton score: 24.0, visited nodes (%): 94.66666412353516, solving time (ms): 566.0, median approximation score: 0.0]
[   34] EDF [score: 3229.0, median singleton score: 23.0, visited nodes (%): 93.33333587646484, solving time (ms): 25.0, median approximation score: 1.0]
[   34] BNT [score: 3834.0, median singleton score: 28.0, visited nodes (%): 92.66666412353516, solving time (ms): 1206.0, median approximation score: 1.1558704376220703]
[   34] CTS [score: 13009.0, median singleton score: 57.0, visited nodes (%): 94.66666412353516, solving time (ms): 309.0, median approximation score: 2.138095259666443]
[   34] ANT-e [score: 3338.0, median singleton score: 23.0, visited nodes (%): 93.33333587646484, solving time (ms): 541.0, median approximation score: 0.0]
[   35] EDF [score: 3253.0, median singleton score: 23.5, visited nodes (%): 96.0, solving time (ms): 25.0, median approximation score: 1.0]
[   35] BNT [score: 3850.0, median singleton score: 28.0, visited nodes (%): 94.0, solving time (ms): 1090.0, median approximation score: 1.178947389125824]
[   35] CTS [score: 14511.0, median singleton score: 58.5, visited nodes (%): 98.66667175292969, solving time (ms): 280.0, median approximation score: 2.57852566242218]
[   35] ANT-e [score: 3288.0, median singleton score: 22.0, visited nodes (%): 96.0, solving time (ms): 541.0, median approximation score: 0.0]
[   36] EDF [score: 3152.0, median singleton score: 22.0, visited nodes (%): 92.66666412353516, solving time (ms): 22.0, median approximation score: 1.0666667222976685]
[   36] BNT [score: 3772.0, median singleton score: 28.0, visited nodes (%): 92.0, solving time (ms): 1069.0, median approximation score: 1.2583333253860474]
[   36] CTS [score: 13427.0, median singleton score: 69.0, visited nodes (%): 98.0, solving time (ms): 300.0, median approximation score: 2.9464285373687744]
[   36] ANT-e [score: 3095.0, median singleton score: 21.0, visited nodes (%): 92.66666412353516, solving time (ms): 581.0, median approximation score: 0.0]
[   37] EDF [score: 3407.0, median singleton score: 23.0, visited nodes (%): 95.33332824707031, solving time (ms): 25.0, median approximation score: 1.0]
[   37] BNT [score: 4018.0, median singleton score: 28.0, visited nodes (%): 94.66666412353516, solving time (ms): 1199.0, median approximation score: 1.1702898144721985]
[   37] CTS [score: 12320.0, median singleton score: 50.0, visited nodes (%): 99.33333587646484, solving time (ms): 244.0, median approximation score: 2.1098484992980957]
[   37] ANT-e [score: 3455.0, median singleton score: 24.5, visited nodes (%): 96.0, solving time (ms): 661.0, median approximation score: 0.0]
[   38] EDF [score: 3098.0, median singleton score: 23.0, visited nodes (%): 93.33333587646484, solving time (ms): 25.0, median approximation score: 1.0]
[   38] BNT [score: 3628.0, median singleton score: 27.0, visited nodes (%): 92.66666412353516, solving time (ms): 1203.0, median approximation score: 1.1808279156684875]
[   38] CTS [score: 11122.0, median singleton score: 52.0, visited nodes (%): 92.66666412353516, solving time (ms): 266.0, median approximation score: 2.253333330154419]
[   38] ANT-e [score: 3093.0, median singleton score: 21.5, visited nodes (%): 94.66666412353516, solving time (ms): 596.0, median approximation score: 0.0]
[   39] EDF [score: 3209.0, median singleton score: 24.0, visited nodes (%): 92.66666412353516, solving time (ms): 22.0, median approximation score: 1.0666667222976685]
[   39] BNT [score: 3847.0, median singleton score: 28.0, visited nodes (%): 91.33333587646484, solving time (ms): 1180.0, median approximation score: 1.2828571200370789]
[   39] CTS [score: 11785.0, median singleton score: 52.0, visited nodes (%): 98.66667175292969, solving time (ms): 249.0, median approximation score: 2.5]
[   39] ANT-e [score: 3188.0, median singleton score: 22.0, visited nodes (%): 92.66666412353516, solving time (ms): 555.0, median approximation score: 0.0]
[   40] EDF [score: 2947.0, median singleton score: 22.0, visited nodes (%): 94.66666412353516, solving time (ms): 23.0, median approximation score: 1.1583850979804993]
[   40] BNT [score: 3682.0, median singleton score: 27.5, visited nodes (%): 93.33333587646484, solving time (ms): 1125.0, median approximation score: 1.384615421295166]
[   40] CTS [score: 11005.0, median singleton score: 44.0, visited nodes (%): 96.66666412353516, solving time (ms): 234.0, median approximation score: 2.366319417953491]
[   40] ANT-e [score: 2606.0, median singleton score: 18.0, visited nodes (%): 94.66666412353516, solving time (ms): 614.0, median approximation score: 0.0]
[   41] EDF [score: 2960.0, median singleton score: 21.0, visited nodes (%): 94.66666412353516, solving time (ms): 24.0, median approximation score: 1.080128252506256]
[   41] BNT [score: 3864.0, median singleton score: 28.0, visited nodes (%): 94.66666412353516, solving time (ms): 1168.0, median approximation score: 1.392307698726654]
[   41] CTS [score: 11648.0, median singleton score: 46.0, visited nodes (%): 96.66666412353516, solving time (ms): 309.0, median approximation score: 2.364389181137085]
[   41] ANT-e [score: 2779.0, median singleton score: 18.0, visited nodes (%): 95.33332824707031, solving time (ms): 623.0, median approximation score: 0.0]
[   42] EDF [score: 3367.0, median singleton score: 23.0, visited nodes (%): 94.0, solving time (ms): 25.0, median approximation score: 1.2586618661880493]
[   42] BNT [score: 4032.0, median singleton score: 30.0, visited nodes (%): 92.66666412353516, solving time (ms): 1181.0, median approximation score: 1.4660087823867798]
[   42] CTS [score: 14058.0, median singleton score: 57.0, visited nodes (%): 99.33333587646484, solving time (ms): 331.0, median approximation score: 2.568323016166687]
[   42] ANT-e [score: 2758.0, median singleton score: 19.0, visited nodes (%): 95.33332824707031, solving time (ms): 609.0, median approximation score: 0.0]
[   43] EDF [score: 3044.0, median singleton score: 22.0, visited nodes (%): 95.33332824707031, solving time (ms): 23.0, median approximation score: 1.0]
[   43] BNT [score: 3621.0, median singleton score: 26.5, visited nodes (%): 94.66666412353516, solving time (ms): 1157.0, median approximation score: 1.1818181276321411]
[   43] CTS [score: 11093.0, median singleton score: 45.0, visited nodes (%): 98.0, solving time (ms): 251.0, median approximation score: 2.0607985258102417]
[   43] ANT-e [score: 2935.0, median singleton score: 21.0, visited nodes (%): 95.33332824707031, solving time (ms): 607.0, median approximation score: 0.0]
