Job name        : med-lfb-superadditive
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Job Output Follows ...
===============================================================================

[Benchmark] fixed number of agents: 15
[Benchmark] node-to-agent ratios: [1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]
[Benchmark] algorithms: [EDF, BNT, CTS, ANT-e]
[Benchmark] replicates: 100
[Benchmark] problem classes: [SUPERADDITIVE]
[Benchmark] session started

[Setup] extracting task records... done.
[Setup] extracting station records... done.
[Setup] initialisation completed.
[   39] EDF [score: 816.0, median singleton score: 53.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.5800000429153442]
[   39] BNT [score: 772.0, median singleton score: 50.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6666666269302368]
[   39] CTS [score: 1039.0, median singleton score: 87.0, visited nodes (%): 60.000003814697266, solving time (ms): 3.0, median approximation score: 1.8695652484893799]
[   39] ANT-e [score: 555.0, median singleton score: 30.0, visited nodes (%): 100.0, solving time (ms): 123.0, median approximation score: 0.0]
[   40] EDF [score: 929.0, median singleton score: 66.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.600000023841858]
[   40] BNT [score: 1131.0, median singleton score: 87.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.9107142686843872]
[   40] CTS [score: 2109.0, median singleton score: 147.5, visited nodes (%): 93.33333587646484, solving time (ms): 2.0, median approximation score: 3.8108108043670654]
[   40] ANT-e [score: 809.0, median singleton score: 48.0, visited nodes (%): 100.0, solving time (ms): 418.0, median approximation score: 0.0]
[   41] EDF [score: 999.0, median singleton score: 74.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6122448444366455]
[   41] BNT [score: 1035.0, median singleton score: 84.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.685185194015503]
[   41] CTS [score: 2003.0, median singleton score: 139.5, visited nodes (%): 93.33333587646484, solving time (ms): 4.0, median approximation score: 3.677419424057007]
[   41] ANT-e [score: 751.0, median singleton score: 59.0, visited nodes (%): 100.0, solving time (ms): 412.0, median approximation score: 0.0]
[   42] EDF [score: 867.0, median singleton score: 59.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.482758641242981]
[   42] BNT [score: 1066.0, median singleton score: 84.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.9090908765792847]
[   42] CTS [score: 2210.0, median singleton score: 110.0, visited nodes (%): 100.0, solving time (ms): 3.0, median approximation score: 3.5517241954803467]
[   42] ANT-e [score: 628.0, median singleton score: 40.0, visited nodes (%): 100.0, solving time (ms): 202.0, median approximation score: 0.0]
[   43] EDF [score: 1172.0, median singleton score: 79.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.9249999523162842]
[   43] BNT [score: 1124.0, median singleton score: 104.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 2.274509906768799]
[   43] CTS [score: 2086.0, median singleton score: 189.0, visited nodes (%): 86.66666412353516, solving time (ms): 4.0, median approximation score: 4.121212005615234]
[   43] ANT-e [score: 974.0, median singleton score: 67.0, visited nodes (%): 100.0, solving time (ms): 472.0, median approximation score: 0.0]
[   44] EDF [score: 1080.0, median singleton score: 81.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.9107142686843872]
[   44] BNT [score: 914.0, median singleton score: 84.5, visited nodes (%): 80.0, solving time (ms): 0.0, median approximation score: 1.559999942779541]
[   44] CTS [score: 1650.0, median singleton score: 156.0, visited nodes (%): 73.33333587646484, solving time (ms): 6.0, median approximation score: 2.9200000762939453]
[   44] ANT-e [score: 947.0, median singleton score: 67.0, visited nodes (%): 93.33333587646484, solving time (ms): 232.0, median approximation score: 0.0]
[   45] EDF [score: 880.0, median singleton score: 60.0, visited nodes (%): 100.0, solving time (ms): 0.0, median approximation score: 1.6458333730697632]
[   45] BNT [score: 1033.0, median singleton score: 74.0, visited nodes (%): 86.66666412353516, solving time (ms): 0.0, median approximation score: 2.1764705181121826]
[   45] CTS [score: 2184.0, median singleton score: 141.0, visited nodes (%): 100.0, solving time (ms): 4.0, median approximation score: 3.96610164642334]
[   45] ANT-e [score: 787.0, median singleton score: 47.0, visited nodes (%): 100.0, solving time (ms): 250.0, median approximation score: 0.0]
[   46] EDF [score: 989.0, median singleton score: 73.0, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.5882352590560913]
[   46] BNT [score: 1105.0, median singleton score: 69.5, visited nodes (%): 93.33333587646484, solving time (ms): 0.0, median approximation score: 1.4772727489471436]
[   46] CTS [score: 2341.0, median singleton score: 174.5, visited nodes (%): 93.33333587646484, solving time (ms): 5.0, median approximation score: 3.588235378265381]
